ClusterID,Treatment,n_participants,YP_HAZ_36m,YP_Stunted_36m,YP_MDAT_GM_Z_36m,YP_MDAT_FM_Z_36m,YP_MDAT_LANG_Z_36m,YP_MDAT_SOC_Z_36m,YP_SRT_36m,YP_AbsGamma_36m,YP_TotalPower_36m,YP_RelGamma_36m,pre_YP_SRT_9m,pre_YP_SRT_17m,pre_YP_AbsGamma_9m,pre_YP_AbsGamma_17m,pre_YP_TotalPower_9m,pre_YP_TotalPower_17m,pre_YP_RelGamma_9m,pre_YP_RelGamma_17m,YS_DD_36m,YS_MICS_36m,X_Caregiver_Age_0m,X_Caregiver_Matric_0m,X_Wealth_Z_0m,X_Wealth_Q_0m,X_ChildGrant_0m,X_Siblings_0m,X_Facilities_0m,X_WBOTs_0m,X_CHWs_0m,X_PHCU5_0m,X_CHW_Age_0m,X_CHW_Educ_0m,X_CHW_Tenure_0m
37,1,7,-0.276,0,1.1413181507610084,0.5849078108103558,1.442696862195935,1.3270122714837622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3.142857142857143,0.5714285714285714,0.2971359000626624,3.142857142857143,0.5714285714285714,0.5714285714285714,0,2,24,431.5,41.3,0.5,9.5
38,0,8,-0.635,0,0.9649305612960627,0.6399924395849387,0.17882794300133198,1.2556396129168987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,2.8333333333333335,2.875,0,-0.34146539111217805,2.625,0.375,0.75,0,2,9,411,44.6,0.3,12.2
39,0,1,-0.07,0,1.62238494113691,0.713511421095405,1.13795980818058,0.664271102553078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,4,0,-1.486835481553551,1,1,0,0,NA,10,2051.4,43.4,0.8,8.5
40,1,9,-1.8385714285714285,0.42857142857142855,0.9685799392393626,0.07682970351962612,0.9603048384253431,0.9552764162547387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.285714285714286,4,3,0.1111111111111111,-0.07817160332884521,2.888888888888889,0.3333333333333333,0.6666666666666666,0,2,20,649.7,45.3,0.5,8.1
41,0,34,-1.2678260869565217,0.13043478260869565,1.033898146825172,0.6091355494067909,0.9970741240487416,1.2473457600476214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9565217391304346,3.6956521739130435,2.5294117647058822,0.3125,-0.2617871828922717,2.4705882352941178,0.7352941176470589,0.7941176470588235,0,1,6,287.1,43.4,0.8,8.5
42,1,22,-0.9911764705882353,0.11764705882352941,0.9642521669124838,0.40899982378488997,0.4955820101184251,0.8706967216003222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.647058823529412,3.7058823529411766,3,0.13636363636363635,-0.29399019370758617,2.727272727272727,0.5909090909090909,0.7272727272727273,0,1,26,343.3,42.5,0.5,11.5
43,0,19,-1.1007142857142858,0.07142857142857142,1.010927700617419,0.27942223504461333,0.6573146638270629,0.7901364695865535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.5,2.6842105263157894,0.6470588235294118,0.07241108000052292,3.1052631578947367,0.631578947368421,0.7894736842105263,0,1,17,475.8,44.5,0.6,13.5
44,1,35,-0.8256521739130435,0,1.2504683433442625,0.5194108474639636,1.015606860522608,0.7284803895098245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.434782608695652,2.869565217391304,3.1142857142857143,0.42857142857142855,-0.14247741304073308,2.8,0.7428571428571429,0.7714285714285715,0,1,11,488.5,44.5,0.6,13.5
45,0,39,-0.9583870967741935,0.1935483870967742,0.8065475573088702,0.3440340777310542,0.9040448964825128,1.0150735794176442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1875,4.03125,2.6153846153846154,0.4358974358974359,-0.47592923105389606,2.5384615384615383,0.7435897435897436,0.7435897435897436,0,1,37,468.3,44.9,0.6,13.4
46,1,14,-0.37,0,0.9461387359693628,0.35669182897723856,1.1982821387547347,1.0845242782474664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.416666666666667,3.8333333333333335,2.5714285714285716,0.42857142857142855,-0.29651932793261937,2.5714285714285716,0.42857142857142855,0.7857142857142857,0,1,22,421.3,41.4,0.6,13.2
47,1,63,-0.6803921568627451,0.058823529411764705,0.8101544444406098,0.4629697358685093,0.8385555662995445,1.0265223667820655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.18,3.803921568627451,2.5873015873015874,0.3387096774193548,-0.3434146759276852,2.4603174603174605,0.5873015873015873,0.746031746031746,0,1,32,277.1,39.7,0.6,6.8
48,0,16,-0.43,0.0625,1.0390760882403396,0.3818088860304353,1.0710500642911351,0.9810269471658368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.625,3.9375,3,0.1875,-0.09034679150189183,2.8125,0.75,0.875,0,2,34,1091.7,44.1,1,13.4
49,0,24,-1.1621052631578948,0.10526315789473684,0.9289313236977561,0.200380700556326,0.9818208170797653,0.8333111282404518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.736842105263158,4.421052631578948,3.0416666666666665,0.30434782608695654,-0.555081181756383,2.4166666666666665,0.5,0.7916666666666666,0,4,14,426.8,41.4,0.4,16
50,1,38,-0.5889285714285715,0.14285714285714285,0.5251338649113272,-0.04674842281110583,0.3583752408252617,0.88379341286861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9285714285714284,3.9642857142857144,2.210526315789474,0.3611111111111111,-0.2786689860619167,2.6052631578947367,0.5,0.7567567567567568,1,1,30,483.8,44.5,0.9,13.4
51,0,26,-1.2689473684210526,0.21052631578947367,1.0004178252454698,0.43901836996967075,1.2249203622592313,0.8170439184649623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.0526315789473686,2.6153846153846154,0.2692307692307692,-0.20723818737438657,2.6153846153846154,0.5384615384615384,0.7692307692307693,0,1,8,435.3,46.7,1,4.3
52,1,4,-1.1825,0.25,0.473317427016948,0.18048114672745552,0.33196314134254146,0.3267713663850525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.5,4.75,0,0.7170972454667436,4.25,0,0.75,0,1,10,582.7,46.1,0.1,12.1
